25,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,88,88,88,88,89
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,103,104,104,104,104,105
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,88,88,88,88,89
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,103,104,104,104,104,105
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
145,145,145,145,145,145,-1,-1,-1,-1,176,177,177,177,177,178
167,168,168,168,168,169,-1,-1,-1,-1,192,193,193,193,193,194
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
145,145,145,145,145,145,-1,-1,-1,-1,176,177,177,177,177,178
